Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Region,Country,Company Name,Showing?
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2003,Existing,https://zerocarbonproject.com,Blockchain-based energy marketplace,Unfunded,,Europe,England,Zero Carbon Project,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Existing,https://powerchain.Energy,Decentralized blockchain ecosystem for Energy storage,Unfunded,,Europe,Estonia,Powerchain,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://smartEnergysolutions.co,Blockchain-based solutions for the Energy industry,Unfunded,,Europe,Finland,Smart Energy,Yes
CCS and CO2 Reporting,CO2 Upcycling,2015,Distant,https://enobraq.com,Providing solution to convert co2 to chemicals,Series A,3710920,Europe,France,EnobraQ’s,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2014,Emerging,https://wenow.com,Provider of connected driving solutions for increased fuel efficiency,Seed,1445050,Europe,France,WeNow,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Distant,https://carbor.app,Blockchain-based carbon credits trading,Unfunded,,Europe,France,Carbor,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Distant,https://climateseed.com/,online platform that connects sustainable project carriers with organizations. It enables organizations in funding sustainable projects to balance their carbon emission.,Unfunded,,Europe,France,ClimateSeed,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Existing,https://sunchain.fr,Blockchain & IoT-based solutions for Energy management,Unfunded,,Europe,France,Sunchain,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://conjoule.de,P2P Energy marketplace to connect producers and consumers,Series A,5127800,Europe,Germany,Conjoule,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2010,Emerging,https://electrochaea.com,Technology developer for converting electric power and carbondioxide to methane,Series A,250000,Europe,Germany,Electrochaea,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2015,Emerging,https://bio-based.eu/,Providing solution to capture carbon from gases,Unfunded,,Europe,Germany,Bio-based economy,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2014,Emerging,https://greencitysolutions.de/en/,Green wall which captures CO2,Funded,,Europe,Germany,Green City Solutions,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2016,Emerging,https://right-basedonscience.de,Provider of software solutions to calculate the contribution to climate change,Seed,,Europe,Germany,right. based on science,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Emerging,https://beatrix.social,Decentralized platform for Energy and telecommunications distribution,Unfunded,,Europe,Germany,BEATRIX,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2012,Existing,https://chainergy.azurewebsites.net,Peer to Peer Energy trading,Unfunded,,Europe,Germany,Chainergy,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://zeus-token.io,Recylced Energy network,Unfunded,,Europe,Germany,Zeus,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2009,Emerging,https://carboncleansolutions.com,Carbondioxide capture solvent technology provider,Series B,47337900,Asia & the Pacific,India,Carbon Clean Solutions,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2016,Distant,https://tagbox.co,Provider of AI-based supply chain visibility solutions,Series A,4518506,Asia & the Pacific,India,TagBox,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2016,Distant,https://o4s.io,SaaS-based supply chain visibility solution,Seed,2500000,Asia & the Pacific,India,O4S,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2013,Emerging,https://stringbio.com,Synthetic biotechnology solutions for waste carbon recycling,Seed,2303800,Asia & the Pacific,India,String Bio,Yes
CCS and CO2 Reporting,CO2 Upcycling,2016,Emerging,https://graviky.com,Technology products related to air pollution,Seed,119000,Asia & the Pacific,India,Graviky,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2014,Emerging,https://carboncontinuum.com,Carbon nanotubes from carbon emissions,Funded,,Asia & the Pacific,India,Carbon Continnum,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://gadgetcreators.com,Blockchain enabled metering solutions provider,Unfunded,,Asia & the Pacific,India,GadgetCreators,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Distant,https://transo.in,"Provider of a cloud, blockchain and IoT-based platform connecting shippers and carriers",Seed,,Asia & the Pacific,India,TRANSO,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2014,Emerging,https://verticalfield.com/,Green wall which captures CO2,Unfunded,,MENA,Israel,Vertical Field,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2016,Emerging,https://greeneum.net,Decentralized platform for renewable energy market,Unfunded,,MENA,Israel,Greeneum,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://gimede.com,Blockchain-based platform to invest in Energy assets,Unfunded,,Europe,Italy,Gimede,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2014,Emerging,https://vip2zip.com/en/,Blockchain-based carbon credit trading platform,Unfunded,,Europe,Italy,Vip2Zip,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://e2ccoin.com,Blockchain based platform for Energy industry,Unfunded,,Asia & the Pacific,Japan,E2C,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2015,Emerging,https://ecobit.io,Blockchain Based Solution for Environmental Conservation.,Unfunded,,Asia & the Pacific,Malaysia,Ecobit,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2018,Distant,https://carbondollarx.com,Cryptocurrency backed by carbon credits and hard assets,Unfunded,,Asia & the Pacific,Malaysia,Carbon Dollar X,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2014,Emerging,https://skytree.eu,CO2 Extraction technology from air,Seed,450000,Europe,Netherlands,Skytree,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2013,Emerging,https://carbonoro.com,Carbon dioxide capture from gases using amines,Funded,,Europe,Netherlands,CarbonOrO,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Emerging,https://greenofekcoin.com,Decentralized platform for the production of electric Energy from Energy sources,Unfunded,,Europe,Netherlands,GreenEnergyCoin,Yes
CCS and CO2 Reporting,CO2 Upcycling,2015,Existing,https://covalenergy.com,Provider of carbon capture and utilization solutions,Unfunded,,Europe,Netherlands,COVAL Energy,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2014,Emerging,https://carbonclick.com,Provider of solutions for carbon offsetting,Unfunded,,Asia & the Pacific,New Zealand,CarbonClick,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Existing,https://cynotrust.com,Blockchain-based data marketplace for the Energy industry,Unfunded,,Africa,Nigeria,Cynotrust,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Emerging,https://chooose.today/,Cryptocurrency platform provider backed by CO2 emission permits,Seed,4000000,Europe,Norway,CHOOOSE,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2019,Emerging,https://aircarbon.co/,AirCarbon is a Singapore-based Commodities Exchange using distributed ledger technology on a traditional trading architecture. It leverages blockchain architecture to create securitized carbon credit on Ethereum and ERC20 & ERC721 tokens.,Seed,750000,Asia & the Pacific,Singapore,Aircarbon,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2019,Emerging,https://thecapture.club,Carbon offset trading platform,Seed,,Asia & the Pacific,Singapore,Capture,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2017,Emerging,https://carbongrid.io,Platform to reward companies for offsetting their carbon footprint,Unfunded,,Asia & the Pacific,Singapore,Carbon Grid,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2017,Existing,https://electrify.asia,Elecrticity marketplace on blockchain,Seed,,Asia & the Pacific,Singapore,Electrify,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2019,Distant,https://trames.sg,Provider of full-suite of supply chain visibility solution,Funded,,Asia & the Pacific,Singapore,Tramés,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2017,Distant,https://trxx.network,Blockchain and IoT supply chain visibility platform,Unfunded,,Asia & the Pacific,Singapore,TRXX Network,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://bittwatt.com,Decentralized Energy trading,Unfunded,,Asia & the Pacific,Singapore,BittWatt,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://etainpower.io,AI-based decentralized Energy ecosystem,Unfunded,,Asia & the Pacific,Singapore,EtainPower,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://newera.Energy,Decentralized Energy trading platform,Unfunded,,Asia & the Pacific,Singapore,New Era Energy,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Distant,https://fuergy.com,AI powered Energy device,Unfunded,,Europe,Slovakia,FUERGY,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2014,Emerging,https://simarine.net,Battery monitoring system for marine,Unfunded,,Europe,Slovenia,Simarine,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://Energypremier.com,Decentralized Energy retail platform,Unfunded,,Europe,Slovenia,Energy Premier,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Existing,https://suncontract.org,Blockchain based Energy trading platform,Unfunded,,Europe,Slovenia,Suncontract,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2014,Emerging,https://thesunexchange.com,Decentralized crowdsourcing based solar project investment platform,Seed,3207564,Africa,South Africa,The Sun Exchange,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Distant,https://forest.io,Cryptocurrency backed by forests,Unfunded,,Africa,South Africa,Forest,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2012,Emerging,https://wpay.sg,Carbon credit platform based on Stellar blockchain,Funded,,Asia & the Pacific,South Korea,W Green Pay,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://redi.io,Blockchain-based data marketplace for the Energy industry,Funded,,Asia & the Pacific,South Korea,REDi,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Existing,https://cryptosolartech.org,Solar Energy pools for generating Energy for crypti mining,Unfunded,,Europe,Spain,Cryptosolartech,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://pylon-network.org,Blockchain based Energy trading platform,Unfunded,,Europe,Spain,Pylon Network,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2018,Distant,https://tracksco2.com/,Decentralized platform for voluntarily carbon market,Unfunded,,Europe,Spain,TracksCO2,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2019,Emerging,https://spacept.com,Provides infrastructure security solutions using satellite images,Seed,110000,Europe,Sweden,Spacept,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2014,Distant,https://carboncloud.io,Providing solutions for carbon footprint labels on the food products,Unfunded,,Europe,Sweden,CarbonCloud,Yes
CCS and CO2 Reporting,CO2 Upcycling,2017,Emerging,https://skymining.com/,Developer of CO2-to-fuel technology,Funded,,Europe,Sweden,Skymining,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2009,Existing,https://climeworks.com,Designs and manufactures devices for extracting carbon dioxide from ambient air,Series C,36353600,Europe,Switzerland,Climeworks,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2012,Distant,https://depsys.ch,Integrated solution provider for power grid management,Series B,18253762,Europe,Switzerland,DEPsys,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2008,Emerging,https://eaternity.org,Software to measure carbon footprint of a meal,Funded,,Europe,Switzerland,Eaternity,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://prosume.io,P2P renewable electricity exchange,Unfunded,,Europe,Switzerland,Prosume,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2009,Existing,https://wppEnergy.io,Blockchain-based Energy marketplace,Unfunded,,Europe,Switzerland,WPP Energy,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2016,Emerging,https://fishyfilaments.com,Recycling marine plastics into 3D printing filament,Seed,205000,Europe,United Kingdom,Fishy Filaments,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2019,Distant,https://emitwise.com,Carbon footprint management and monitoring automation solution,Unfunded,,Europe,United Kingdom,EmitWise,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2017,Emerging,https://emsol.io,Platform for monitoring air and noise pollutions,Unfunded,,Europe,United Kingdom,EMSOL,Yes
CCS and CO2 Reporting,CO2 Upcycling,2005,Emerging,https://lanzatech.com,Technology developer and Bioethanol manufacturer,Series E,289300000,North America,USA,LanzaTech,Yes
CCS and CO2 Reporting,CO2 Upcycling,2009,Existing,https://coolplanet.com,Technology provider to manufacture hydrocarbon fuels and biocarbon products,Series E,182496043,North America,USA,Cool Planet,Yes
CCS and CO2 Reporting,CO2 Upcycling,2002,Existing,https://newlight.com/,Transform CO2 - bioplastic,Series D,70800000,North America,USA,Newlight Technologies,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2014,Emerging,https://ursaspace.com,Geospatial maps and insights provider,Series B,31430000,North America,USA,Ursa Space Systems,Yes
CCS and CO2 Reporting,CO2 Upcycling,2008,Emerging,https://solidiatech.com/,"Solidia technologies sequesters CO2 by injecting it into concrete during the manufacturing process, transforming CO2 into a usable element as it helps in curing concrete and produces a more durable and flexible product",Series C,27000000,North America,USA,Solidiatech,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2007,Existing,https://calera.com/,Carbon dioxide sequestration,Series B,26000000,North America,USA,Calera,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2000,Existing,https://nativeenergy.com/,Provides carbon offset software,Series A,12579052,North America,USA,NativeEnergy,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2009,Existing,https://emisense.com,Manufactures emissions sensors for use in vehicles,Series C,9500000,North America,USA,EmiSense,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2016,Emerging,https://solvewithvia.com,Application development platform for the Energy industry,Seed,7500000,North America,USA,VIA,Yes
CCS and CO2 Reporting,CO2 Upcycling,2011,Distant,https://recarboninc.com,"Offers scalable, energy efficient solution to turn waste CO2 into valuable gases",Series A,7000000,North America,USA,ReCarbon,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2004,Emerging,https://terrapass.com,Carbon offset and renewable energy certificates provider,Series A,5800000,North America,USA,Terrapass,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2012,Existing,https://lo3Energy.com,Blockchain technology for microgrids,Series A,5761156,North America,USA,LO3 Energy,Yes
CCS and CO2 Reporting,CO2 Upcycling,2013,Distant,https://blueplanet-ltd.com,Carbon capture to concrete and building materials technology,Series A,4832500,North America,USA,Blue Planet,Yes
CCS and CO2 Reporting,CO2 Upcycling,2009,Emerging,https://phytonix.com/,"industrial biotechnology company which produces biofuels from carbon dioxide. Through its patented technology, the company will initially produce biobutanol and biopentanol to replace gasoline",Seed,3000000,North America,USA,Phytonix,Yes
CCS and CO2 Reporting,CO2 Upcycling,2009,Emerging,https://solidcarbonproducts.com,Waste carbon dioxide to carbon nanotubes & nanofiber production technology provider,Funded,2500000,North America,USA,Solid Carbon Products,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2009,Emerging,https://heatremotesensing.com,Provider of emission testing solutions for the industries,Seed,875000,North America,USA,Hager Environmental & Atmospheric Technologies,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Emerging,https://c4coin.org/,Cryptocurrency backed by carbon credits,Seed,450000,North America,USA,C4Coin,Yes
CCS and CO2 Reporting,Carbon Footprint Tracking,2016,Emerging,https://bluefield.co,Building micro-satellites for methane tracking,Seed,250004,North America,USA,Bluefield,Yes
CCS and CO2 Reporting,CO2 Upcycling,2018,Distant,https://novonutrients.com,Developer of bio-production platform to transform carbon dioxide into useful products,Seed,250000,North America,USA,NovoNutrients,Yes
CCS and CO2 Reporting,CO2 Trading/Offsetting/Exchange,2017,Existing,https://webild.it,P2P marketplace for infrastructure and Energy investment,Seed,120000,North America,USA,Bild,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2010,Emerging,https://globalthermostat.com/,Technology to capture carbon from atmosphere or industrial stacks,Funded,,North America,USA,Global Thermostat,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2008,Emerging,https://ioncleanenergy.com/,Developer of CO2 capture technologies,Funded,,North America,USA,ION Engineering,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2016,Emerging,https://mosaicmaterials.com/,"focused on developing advanced materials for gas separation. The company uses Metal-organic frameworks (MOFs), which are porous solids, for selectively capturing CO2 from gases. Partnering with Exxon to capture carbon at emission source",Seed,,North America,USA,Mosaic Materials,Yes
CCS and CO2 Reporting,Carbon Capture & Storage,2018,Distant,https://soil-value-exchange.com,Provider of carbon capture and carbon-in-soil storage solutions,Unfunded,,North America,USA,Soil Value Exchange,Yes
